Date,Exp Day,ind,Temperature (F),Salinity (psu),pH,Ammonia,Nitrite,Nitrate,,
6/1/22,-4,Loki,74,34.6,7.9,0.1,0,50,Baking soda added,MH
6/2/22,-3,Loki,74,34.3,8,0.1,0,50,Baking soda added,MH
6/3/22,-2,Loki,74,34.7,8.1,0.15,0.1,80,,MH
6/9/22,4,Loki,74,34.6,8.4,,0.5,50,,MH
6/15/22,10,Loki,76,33.9,8.3,0,3,50,,MMCoy
6/16/22,11,Loki,76,,8,0.1,0.5,90,,MH
6/17/22,12,Loki,75,34.4,8,0.05,0.5,80,,MH
6/21/22,0,Ragnar,74,33.7,8.2,0,0,100,,MH
6/22/22,1,Ragnar,74,34.3,8,0,0,100,,MH
6/30/22,9,Ragnar,74,34.5,8.1,0,5,100,,MH
7/1/22,-5,Haliai,74,33.6,7.6,0.25,0.5,50,,SG
7/2/22,-4,Haliai,74,33.3,8.1,0.1,0,80,Baking soda added,MH
7/3/22,-3,Haliai,74,33.3,8.1,0.1,0,80,,MH
7/4/22,-2,Haliai,74,33,8.1,0.1,0,80,,MH
7/12/22,6,Haliai,74,33.8,8,0.25,1,60,,MH
7/14/22,8,Haliai,74,34.1,8,0.25,2,100,Baking soda added,MH
2/12/23,-1,Calypso,78,31.9,8.2,0.1,0,20,,MH
21-Feb,8,Calypso,75,32.8,8,0.2,0,25,,MH
2/25/23,12,Calypso,75,33.4,8.2,0,0,30,,MH
2/26/23,-3,Selkie,75,,8,0,0,10,,MH
3/4/23,3,Selkie,75,32.3,8,0.1,0,10,,MMCoy
3/5/23,4,Selkie,76,32.4,8.4,0,0,10,,MMCoy
3/11/23,10,Selkie,75,,7.8,0.1,0,30,salt and baking soda added,MH
3/11/23,10,Selkie,75,33.3,7.8,0.1,0,30,,MH
12-Mar,11,Selkie,74,32.7,8.1,0,,160,,
3/13/23,12,Selkie,75,,,,,80,,MH
3/13/23,12,Selkie,74,,,,,80,,
3/16/23,15,Selkie,74,32.8,8,0.1,0,30,1/8 water change,MH
3/17/23,16,Selkie,74,33,8,0.2,0,25,,MH
3/9/23,-4,Scylla,75,32.4,8,0.1,0,10,,MH
3/10/23,-3,Scylla,75,31.9,7.9,0.2,0,10,,MH
3/11/23,-2,Scylla,75,,7.9,0.1,0,20,salt and baking soda added,MH
3/12/23,-3,Scylla,75,32.3,8,,,,,
3/16/23,3,Scylla,74,32.5,8,0.4,0.1,60,,MH
3/17/23,4,Scylla,74,32.5,7.8,0.1,0,50,added baking soda,MH
3/18/23,5,Scylla,74,32.6,8,0.1,0,30,,MH
3/19/23,6,Scylla,75,32.3,8,0.2,0,50,1/8 water change from ink,MH
3/21/23,8,Scylla,74,32.2,8.1,0.25,0,50,,MH
3/22/23,9,Scylla,74,32.7,8.1,,,,,MH
3/24/23,11,Scylla,74,32.5,8.1,0.2,0,80,1/8 water change from ink,
3/25/23,12,Scylla,74,31.6,8,0.2,0,50,,MH
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
