,Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop,ind,obs,date,time,rtime
1,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Octopus,Stationary,NA,Unknown,STATE,0,1576.294,1576.294,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
2,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Octopus,right,NA,NA,STATE,0,2555.757,2555.757,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
3,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam1,Unobservable,NA,NA,STATE,0,3360.554,3360.554,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
4,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam2,Unobservable,NA,NA,STATE,0,3360.553,3360.553,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
5,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam3,Burrow,Evasion,NA,STATE,0,14857.843,14857.843,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
6,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab1,Burrow,Evasion,NA,STATE,0,1898.305,1898.305,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
7,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab1,right,NA,NA,STATE,0,1898.306,1898.306,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
8,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab2,Unobservable,NA,NA,STATE,0,3361.084,3361.084,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
9,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab3,Unobservable,NA,NA,STATE,0,3358.015,3358.015,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
10,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail1,Stationary,NA,Unknown,STATE,0,2042.433,2042.433,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
11,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail1,left,NA,NA,STATE,0,14857.843,14857.843,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
12,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail2,Unobservable,NA,NA,STATE,0,3363.543,3363.543,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
13,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail3,Unobservable,NA,NA,STATE,0,14857.843,14857.843,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
14,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,Under Refuge,Evasion,NA,STATE,0,11774.318,11774.318,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
15,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,Stationary,NA,Alert Sitting,STATE,0,2565.354,2565.354,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
16,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,left,NA,NA,STATE,0,14857.843,14857.843,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
17,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab2,Unobservable,NA,NA,STATE,0,3445.596,3445.596,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
18,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab3,Unobservable,NA,NA,STATE,0,3445.596,3445.596,NA,NA,Caly,d2_Total,2/15/23,9:58:00,9:58:00
19,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,Under Refuge,Evasion,NA,STATE,0,2708.401,2708.401,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
20,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,Stationary,NA,Unknown,STATE,0,588.274,588.274,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
21,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,left,NA,NA,STATE,0,7762.911,7762.911,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
22,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Clam1,Burrow,Evasion,NA,STATE,0,16571.055,16571.055,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
23,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Clam2,Burrow,Evasion,NA,STATE,0,16571.055,16571.055,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
24,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Clam3,Unobservable,NA,NA,STATE,0,3194.376,3194.376,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
25,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab1,Burrow,Evasion,NA,STATE,0,2798.618,2798.618,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
26,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab1,right,NA,NA,STATE,0,4833.751,4833.751,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
27,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab2,Unobservable,NA,NA,STATE,0,3192.637,3192.637,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
28,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab3,Unobservable,NA,NA,STATE,0,3198.001,3198.001,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
29,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Snail1,Climb,Evasion,NA,STATE,0,2907.567,2907.567,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
30,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Snail1,left,NA,NA,STATE,0,2663.793,2663.793,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
31,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Snail2,Unobservable,NA,NA,STATE,0,3195.142,3195.142,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
32,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Snail3,Climb,Evasion,NA,STATE,0,16571.055,16571.055,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
33,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Swim Crab1,Unobservable,NA,NA,STATE,0,3198.64,3198.64,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
34,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Swim Crab2,Unobservable,NA,NA,STATE,0,3198,3198,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
35,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Swim Crab3,Unobservable,NA,NA,STATE,0,3195.143,3195.143,NA,NA,Caly,d6_Total,2/19/23,9:45:00,9:45:00
36,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Octopus,Under Refuge,Evasion,NA,STATE,0,796.807,796.807,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
37,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Octopus,Stationary,NA,Alert Sitting,STATE,0,795.195,795.195,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
38,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Octopus,left,NA,NA,STATE,0,2490.403,2490.403,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
39,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Clam1,Stationary,NA,Unknown,STATE,0,6996.156,6996.156,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
40,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Clam1,left,NA,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
41,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Clam2,Unobservable,NA,NA,STATE,0,2455.905,2455.905,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
42,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Clam3,Burrow,Evasion,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
43,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab1,Roaming,NA,Beyond 1/2 tank L,STATE,0,342.977,342.977,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
44,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab1,right,NA,NA,STATE,0,569.529,569.529,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
45,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab2,Stationary,NA,Alert Sitting,STATE,0,82.764,82.764,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
46,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab2,right,NA,NA,STATE,0,630.636,630.636,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
47,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab3,Stationary,NA,Alert Sitting,STATE,0,669.998,669.998,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
48,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab3,right,NA,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
49,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Snail1,Climb,Evasion,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
50,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Snail1,left,NA,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
51,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Snail2,Unobservable,NA,NA,STATE,0,2453.884,2453.884,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
52,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Snail3,Unobservable,NA,NA,STATE,0,2453.884,2453.884,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
53,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Swim Crab1,Unobservable,NA,NA,STATE,0,2455.611,2455.611,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
54,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Swim Crab2,Unobservable,NA,NA,STATE,0,2457.399,2457.399,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
55,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Swim Crab3,Unobservable,NA,NA,STATE,0,14666.152,14666.152,NA,NA,Caly,d9_Total,2/22/23,9:55:00,9:55:00
56,Caly d1_Total,2/14/23 10:01,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb14/Caly_d1.mov,14489.98,59.94,pre,1,day,yes,Octopus,Stationary,NA,Alert Sitting,STATE,0,499.7,499.7,NA,NA,Caly,d1_Total,2/14/23,10:01:00,10:01:00
57,Caly d1_Total,2/14/23 10:01,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb14/Caly_d1.mov,14489.98,59.94,pre,1,day,yes,Octopus,right,NA,NA,STATE,0,806.759,806.759,NA,NA,Caly,d1_Total,2/14/23,10:01:00,10:01:00
58,Caly d1_Total,2/14/23 10:01,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb14/Caly_d1.mov,14489.98,59.94,pre,1,day,yes,Clam1,Unobservable,NA,NA,STATE,0,1856.266,1856.266,NA,NA,Caly,d1_Total,2/14/23,10:01:00,10:01:00
59,Caly d1_Total,2/14/23 10:01,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb14/Caly_d1.mov,14489.98,59.94,pre,1,day,yes,Clam2,Unobservable,NA,NA,STATE,0,1856.265,1856.265,NA,NA,Caly,d1_Total,2/14/23,10:01:00,10:01:00
60,Caly d1_Total,2/14/23 10:01,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb14/Caly_d1.mov,14489.98,59.94,pre,1,day,yes,Clam3,Unobservable,NA,NA,STATE,0,1856.264,1856.264,NA,NA,Caly,d1_Total,2/14/23,10:01:00,10:01:00
