Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Octopus,Stationary,,Unknown,STATE,0.000,1576.294,1576.294,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Octopus,right,,,STATE,0.000,2555.757,2555.757,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam1,Unobservable,,,STATE,0.000,3360.554,3360.554,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam2,Unobservable,,,STATE,0.000,3360.553,3360.553,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Clam3,Burrow,Evasion,,STATE,0.000,14857.843,14857.843,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab1,Burrow,Evasion,,STATE,0.000,1898.305,1898.305,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab1,right,,,STATE,0.000,1898.306,1898.306,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab2,Unobservable,,,STATE,0.000,3361.084,3361.084,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab3,Unobservable,,,STATE,0.000,3358.015,3358.015,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail1,Stationary,,Unknown,STATE,0.000,2042.433,2042.433,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail1,left,,,STATE,0.000,14857.843,14857.843,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail2,Unobservable,,,STATE,0.000,3363.543,3363.543,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Snail3,Unobservable,,,STATE,0.000,14857.843,14857.843,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,Under Refuge,Evasion,,STATE,0.000,11774.318,11774.318,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,Stationary,,Alert Sitting,STATE,0.000,2565.354,2565.354,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab1,left,,,STATE,0.000,14857.843,14857.843,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab2,Unobservable,,,STATE,0.000,3445.596,3445.596,,
Caly d2_Total,2023-02-15 09:58:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Swim Crab3,Unobservable,,,STATE,0.000,3445.596,3445.596,,
Caly d6_Total,2023-02-19 09:45:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,Under Refuge,Evasion,,STATE,0.000,2708.401,2708.401,,
Caly d6_Total,2023-02-19 09:45:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,Stationary,,Unknown,STATE,0.000,588.274,588.274,,
Caly d6_Total,2023-02-19 09:45:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Octopus,left,,,STATE,0.000,7762.911,7762.911,,
Caly d6_Total,2023-02-19 09:45:00,,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Clam1,Burrow,Evasion,,STATE,0.000,16571.055,16571.055,,
