Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Octopus,Under Refuge,Evasion,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Octopus,left,,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Clam1,Stationary,,Alert Sitting,STATE,0.000,407.353,407.353,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Clam1,right,,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Clam2,Burrow,Evasion,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Clam2,right,,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Clam3,Unobservable,,,STATE,0.000,1200.808,1200.808,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Hermit Crab1,Unobservable,,,STATE,0.000,141.687,141.687,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Hermit Crab1,right,,,STATE,0.000,357.762,357.762,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Hermit Crab2,Unobservable,,,STATE,0.000,1181.626,1181.626,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Hermit Crab3,Unobservable,,,STATE,0.000,1769.334,1769.334,,
Loki D2File2,2022-06-07 10:42:58,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File2.MOV,1769.334,29.97,pre,2,day,yes,Snail1,Burrow,Evasion,,STATE,0.000,1769.334,1769.334,,
