"","Subject_tax","Behavior","exposure","ind","duration","totaltime","prop"
"1","Clam","Burrow","pre","Loki",4376,18322.457,0.238832597615047
"2","Clam","Burrow","pre","Ragnar",21612,46350.55,0.466272784249594
"3","Clam","Burrow","pre","Haliai",10632,32055.008,0.331679842350999
"4","Clam","Burrow","act","Ragnar",7204,33799.804,0.21313733061884
"5","Clam","Burrow","act","Caly",40126.209,40126.209,1
"6","Clam","Burrow","act","Scylla",41340.489,61831.489,0.66859927956773
"7","Clam","Burrow","post","Loki",910.314,13424.897,0.0678078945410158
"8","Clam","Burrow","post","Ragnar",7204,14408,0.5
"9","Clam","Stationary","pre","Loki",13946.457,18322.457,0.761167402384953
"10","Clam","Stationary","pre","Ragnar",24738.55,46350.55,0.533727215750406
"11","Clam","Stationary","pre","Haliai",21423.008,32055.008,0.668320157649001
"12","Clam","Stationary","pre","Scylla",9609.315,9609.315,1
"13","Clam","Stationary","act","Loki",8660.207,8660.207,1
"14","Clam","Stationary","act","Ragnar",26595.804,33799.804,0.78686266938116
"15","Clam","Stationary","act","Haliai",17321.732,17321.732,1
"16","Clam","Stationary","act","Scylla",20491,61831.489,0.33140072043227
"17","Clam","Stationary","post","Loki",12514.583,13424.897,0.932192105458984
"18","Clam","Stationary","post","Ragnar",7204,14408,0.5
"19","Clam","Stationary","post","Haliai",10664.995,10664.995,1
"20","Clam","Stationary","post","Scylla",3261.763,3261.763,1
"21","Hermit Crab","Burrow","pre","Loki",16.223,7157.42,0.0022665988582478
"22","Hermit Crab","Burrow","pre","Ragnar",14442.247,35231.549,0.409923702190897
"23","Hermit Crab","Burrow","pre","Haliai",6011.065,26185.732,0.229554972914257
"24","Hermit Crab","Burrow","pre","Caly",8.248,11914.859,0.00069224486836143
"25","Hermit Crab","Burrow","pre","Scylla",426.848,32421.368,0.0131656381680131
"26","Hermit Crab","Burrow","act","Loki",1788.18,9201.655,0.194332432589572
"27","Hermit Crab","Burrow","act","Ragnar",6006.406,18170.435,0.330559284904296
"28","Hermit Crab","Burrow","act","Haliai",1123.733,15936.021,0.0705152810729855
"29","Hermit Crab","Burrow","act","Caly",158.526,16858.425,0.00940336953185128
"30","Hermit Crab","Burrow","post","Ragnar",5715.798,14089.376,0.405681415557368
"31","Hermit Crab","Burrow","post","Haliai",776.955,14308.305,0.0543009811434688
"32","Hermit Crab","Burrow","post","Caly",8765.424,14950.363,0.586301750666522
"33","Hermit Crab","Burrow","post","Scylla",9.006,6593.637,0.00136586226994298
"34","Hermit Crab","Climb","pre","Scylla",6.259,32421.368,0.000193051693562098
"35","Hermit Crab","Climb","act","Ragnar",48.669,18170.435,0.00267847192431001
"36","Hermit Crab","Roaming","pre","Loki",1555.923,7157.42,0.217386013395888
"37","Hermit Crab","Roaming","pre","Ragnar",171.247,35231.549,0.00486061512651629
"38","Hermit Crab","Roaming","pre","Haliai",13080.673,26185.732,0.499534364744892
"39","Hermit Crab","Roaming","pre","Caly",4768.696,11914.859,0.400231005671154
"40","Hermit Crab","Roaming","pre","Scylla",19144.35,32421.368,0.590485571120873
"41","Hermit Crab","Roaming","act","Loki",1423.916,9201.655,0.154745640865692
"42","Hermit Crab","Roaming","act","Ragnar",6021.499,18170.435,0.331389919944129
"43","Hermit Crab","Roaming","act","Haliai",5981.823,15936.021,0.375364904451368
"44","Hermit Crab","Roaming","act","Caly",9091.251,16858.425,0.539270483452636
"45","Hermit Crab","Roaming","post","Loki",7306.749,19845.548,0.368180762758479
"46","Hermit Crab","Roaming","post","Ragnar",1729.177,14089.376,0.122729140027209
"47","Hermit Crab","Roaming","post","Haliai",2445.891,14308.305,0.170942050787986
"48","Hermit Crab","Roaming","post","Caly",186.723,14950.363,0.0124895295184471
