Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Clam1,Stationary,,Alert Sitting,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Clam1,left,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Clam1,center third,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Clam2,Burrow,Evasion,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Clam3,Burrow,Evasion,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,0.000,503.905,503.905,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab1,right,,,STATE,0.000,780.996,780.996,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab1,right third,,,STATE,0.000,618.284,618.284,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab2,Unobservable,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab3,Stationary,,Alert Sitting,STATE,0.000,661.305,661.305,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab3,right,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Hermit Crab3,right third,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail1,Climb,Evasion,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail1,Stationary,,Unknown,STATE,0.000,3205.840,3205.840,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail1,left,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail1,left third,,,STATE,0.000,7133.880,7133.880,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail2,Climb,Evasion,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail2,Stationary,,Unknown,STATE,0.000,2047.754,2047.754,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail2,right,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail2,right third,,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail3,Climb,Evasion,,STATE,0.000,7203.196,7203.196,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail3,Stationary,,Unknown,STATE,0.000,351.267,351.267,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail3,right,,,STATE,0.000,636.145,636.145,,
P13 d2_Short,2022-09-07 12:25:00,,/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov,7203.200,29.97,pre,2,day,yes,Snail3,center third,,,STATE,0.000,1931.229,1931.229,,
