"","Observation.id","Observation.date","Description","Media.file","Total.length","FPS","Oleamide.Exposure","Experimental.Day","Photoperiod","Human.Disturbance","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","ind","obs","date","time","rtime","m1","m2","Subject_tax","newbehav","actlevel","newstart","newstop","newduration","rownum","stoptime","dur","row.id"
"1","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",0,1595.509,1595.509,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Hermit Crab","Stationary- Active",3,0,1595.509,1595.509,126,12:56:35.509,1595.509,NA
"2","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab2","Stationary",NA,"Alert Sitting","STATE",0,71.931,71.931,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Hermit Crab","Stationary- Active",3,0,71.931,71.931,128,12:31:11.931,71.931,NA
"3","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab2","right",NA,NA,"STATE",0,447.407,447.407,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,NA,"","Hermit Crab","Right",NA,0,447.407,447.407,129,12:37:27.407,447.407,NA
"4","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab3","Stationary",NA,"Alert Sitting","STATE",0,25.694,25.694,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Hermit Crab","Stationary- Active",3,0,25.694,25.694,130,12:30:25.694,25.694,NA
"5","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab3","left",NA,NA,"STATE",0,1286.24,1286.24,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,NA,"","Hermit Crab","Left",NA,0,1286.24,1286.24,131,12:51:26.240,1286.24,NA
"6","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Snail2","Stationary",NA,"Alert Sitting","STATE",0,189.272,189.272,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Snail","Stationary- Active",3,0,189.272,189.272,135,12:33:09.272,189.272,NA
"7","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Snail2","left",NA,NA,"STATE",0,1363.581,1363.581,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,NA,"","Snail","Left",NA,0,1363.581,1363.581,136,12:52:43.581,1363.581,NA
"8","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Under Refuge","Evasion",NA,"STATE",0,441.102,441.102,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,NA,"","Swim Crab","Under Refuge",NA,0,441.102,441.102,140,12:37:21.102,441.102,NA
"9","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",0,431.834,431.834,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Swim Crab","Stationary- Active",3,0,431.834,431.834,141,12:37:11.834,431.834,NA
"10","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","left",NA,NA,"STATE",0,768.914,768.914,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,NA,"","Swim Crab","Left",NA,0,768.914,768.914,142,12:42:48.914,768.914,NA
"11","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab2","Stationary",NA,"Alert Sitting","STATE",0,834.746,834.746,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:30:00,"Alert Sitting","","Swim Crab","Stationary- Active",3,0,834.746,834.746,143,12:43:54.746,834.746,NA
