"","X","Observation.id","Observation.date","Description","Media.file","Total.length","FPS","Oleamide.Exposure","Experimental.Day","Photoperiod","Human.Disturbance","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","ind","obs","date","time","rtime","m1","m2","Subject_tax","exposure","bottle","rphoto","newbehav","actlevel","block","newstart","newstop","newduration","row","rownum","stoptime","dur","row_id"
"1",8241,"Loki d2_Total","6/7/22 10:42",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki_d2_Total.mov",14207,29.97,"pre","2","day","yes","Swim Crab1","left",NA,NA,"STATE",7036.552,7059,22.578,NA,NA,"Loki","d2_Total",22-06-07,"10:42:00",12:39:17,NA,"","Swim Crab","pre","NA","crep","Left",NA,1,7036.552,7059,22.578,21,16,12:39:39.578,22.578,9
"2",8291,"Loki d2_Total","6/7/22 10:42",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki_d2_Total.mov",14207,29.97,"pre","2","day","yes","Snail3","right",NA,NA,"STATE",7160.231,9737,2576.692,NA,NA,"Loki","d2_Total",22-06-07,"10:42:00",12:41:20,NA,"","Snail","pre","NA","crep","Right",NA,1,7160.231,9737,2576.692,23,18,13:24:16.692,2576.692,11
"3",8409,"Loki d2_Total","6/7/22 10:42",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki_d2_Total.mov",14207,29.97,"pre","2","day","yes","Swim Crab3","left",NA,NA,"STATE",7550.116,8112,561.447,NA,NA,"Loki","d2_Total",22-06-07,"10:42:00",12:47:50,NA,"","Swim Crab","pre","NA","crep","Left",NA,1,7550.116,8112,561.447,24,19,12:57:11.447,561.447,12
"4",8748,"Loki d2_Total","6/7/22 10:42",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki_d2_Total.mov",14207,29.97,"pre","2","day","yes","Swim Crab2","left",NA,NA,"STATE",8531.371,8836,304.654,NA,NA,"Loki","d2_Total",22-06-07,"10:42:00",13:04:11,NA,"","Swim Crab","pre","NA","crep","Left",NA,1,8531.371,8836,304.654,27,21,13:09:15.654,304.654,14
"5",4435,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Swim Crab3","Roaming",NA,"Beyond 1/2 tank L","STATE",1082.485,1252,169.115,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:31:02,"Beyond 1/2 tank L","","Swim Crab","pre","NA","crep","Roaming",4,1,1082.485,1252,169.115,254,219,12:33:51.115,169.115,172
"6",4550,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Snail1","Under Refuge","Evasion",NA,"STATE",1139.8,1329,189.432,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:32:00,NA,"","Snail","pre","NA","crep","Under Refuge",NA,1,1139.8,1329,189.432,255,220,12:35:09.432,189.432,173
"7",4704,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",1214.338,1252,37.262,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:33:14,"Alert Sitting","","Swim Crab","pre","NA","crep","Stationary- Active",3,1,1214.338,1252,37.262,257,221,12:33:51.262,37.262,174
"8",4791,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Swim Crab1","Roaming",NA,"Within 1/2 tank L","STATE",1251.601,1336,84.652,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:33:52,"Within 1/2 tank L","","Swim Crab","pre","NA","crep","Roaming",4,1,1251.601,1336,84.652,258,222,12:35:16.652,84.652,175
"9",4792,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Swim Crab3","Stationary",NA,"Alert Sitting","STATE",1251.601,1576,324.407,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:33:52,"Alert Sitting","","Swim Crab","pre","NA","crep","Stationary- Active",3,1,1251.601,1576,324.407,259,223,12:39:16.407,324.407,176
"10",4842,"Loki D2File6","6/7/22 12:13",NA,"/Volumes/McCoy Octo Data/OctopusVideos/Loki/Jun7 (d2)/Loki D2File6.MOV",2190,29.97,"pre","2","night","no","Swim Crab2","Roaming",NA,"Beyond 1/2 tank L","STATE",1275.712,1346,70.141,NA,NA,"Loki","D2File6",22-06-07,"12:13:00",12:34:16,"Beyond 1/2 tank L","","Swim Crab","pre","NA","crep","Roaming",4,1,1275.712,1346,70.141,260,224,12:35:26.141,70.141,177
