"","Observation.id","Observation.date","Total.length","Oleamide.Exposure","Experimental.Day","Subject","Behavior","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","ind","obs","date","rtime","m1","m2","Subject_tax","exposure","bottle","rphoto","newbehav","actlevel","block","newstart","newstop","newduration","stoptime","dur"
"1","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Octopus","Feeding","Hermit crabs","STATE",0,363.502,363.502,NA,NA,"Loki","D2File7",22-06-07,12:49:00,"Hermit crabs","","Octopus","pre","NA","crep","Feeding",3,1,0,363.502,363.502,12:55:03.502,363.502
"2","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Octopus","Under Refuge",NA,"STATE",0,319.707,319.707,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Octopus","pre","NA","crep","Under Refuge",NA,1,0,319.707,319.707,12:54:19.707,319.707
"3","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Octopus","Stationary","Alert Sitting","STATE",0,319.706,319.706,NA,NA,"Loki","D2File7",22-06-07,12:49:00,"Alert Sitting","","Octopus","pre","NA","crep","Stationary- Active",3,1,0,319.706,319.706,12:54:19.706,319.706
"4","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Octopus","left",NA,"STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Octopus","pre","NA","crep","Left",NA,1,0,2187.585,2187.585,13:25:27.585,2187.585
"5","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam1","Stationary","Alert Sitting","STATE",0,494.888,494.888,NA,NA,"Loki","D2File7",22-06-07,12:49:00,"Alert Sitting","","Clam","pre","NA","crep","Stationary- Active",3,1,0,494.888,494.888,12:57:14.888,494.888
"6","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam1","right",NA,"STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Clam","pre","NA","crep","Right",NA,1,0,2187.585,2187.585,13:25:27.585,2187.585
"7","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam2","Burrow",NA,"STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Clam","pre","NA","crep","Stationary- Burrowed",1,1,0,2187.585,2187.585,13:25:27.585,2187.585
"8","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam2","right",NA,"STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Clam","pre","NA","crep","Right",NA,1,0,2187.585,2187.585,13:25:27.585,2187.585
"9","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam3","Stationary","Unknown","STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,"Unknown","","Clam","pre","NA","crep","Stationary- Inert",2,1,0,2187.585,2187.585,13:25:27.585,2187.585
"10","Loki D2File7","6/7/22 12:49",2187.59,"pre","2","Clam3","right",NA,"STATE",0,2187.585,2187.585,NA,NA,"Loki","D2File7",22-06-07,12:49:00,NA,"","Clam","pre","NA","crep","Right",NA,1,0,2187.585,2187.585,13:25:27.585,2187.585
